"mae","level","type"
0.916994371952582,16,"species"
1.06556242622617,16,"species"
0.893236102256182,16,"species"
0.94420713555954,16,"species"
1.1090628048012,16,"species"
0.724587377834107,16,"species"
0.9721137848798,16,"species"
0.953034662954706,16,"species"
0.845673331407044,16,"species"
1.05899884257012,16,"species"
1.04796452132364,16,"species"
1.23978183903328,16,"species"
0.926996920694212,16,"species"
1.06368453742841,16,"species"
1.03900435781053,16,"species"
1.16391557344517,16,"species"
1.0475892244807,16,"species"
0.961968933193102,16,"species"
0.987590846769701,16,"species"
1.11246026408901,16,"species"
0.939955676744822,16,"species"
0.887845193706836,16,"species"
0.957282183356584,16,"species"
1.06956527260819,16,"species"
1.07088834315067,16,"species"
0.954039968761541,16,"species"
1.01442025054988,16,"species"
0.945415663235773,16,"species"
0.108143473962156,4,"totalnpp"
0.083007991982565,2,"totalnpp"
0.195022290320261,16,"totalnpp"
0.275205667262979,8,"totalnpp"
0.0692929324824649,2,"totalnpp"
0.467996648047197,8,"totalnpp"
0.149256909881269,8,"totalnpp"
0.0647268682878439,4,"totalnpp"
0.0369587906529723,4,"totalnpp"
0.0714688699424699,16,"totalnpp"
0.16514211847022,4,"totalnpp"
0.0166725339423781,16,"totalnpp"
0.188847527521819,4,"totalnpp"
0.0849736892226103,16,"totalnpp"
0.142175650652306,16,"totalnpp"
0.0687903670361312,4,"totalnpp"
0.245329903080816,4,"totalnpp"
0.00508203953129804,16,"totalnpp"
0.155792700086884,2,"totalnpp"
0.342605226797811,8,"totalnpp"
0.015443199611388,4,"totalnpp"
0.259153612726022,2,"totalnpp"
0.215258510884081,8,"totalnpp"
0.23346922625653,4,"totalnpp"
0.48480120991615,8,"totalnpp"
0.213830231134213,16,"totalnpp"
0.440024815711214,4,"totalnpp"
0.0686956916488053,8,"totalnpp"
0.0424788231509421,2,"totalnpp"
0.153431276300576,8,"totalnpp"
0.0123814886738427,16,"totalnpp"
0.1131013801618,16,"totalnpp"
0.25177177528165,4,"totalnpp"
0.42072714915197,8,"totalnpp"
0.18921868843358,8,"totalnpp"
0.0755356656849249,16,"totalnpp"
0.0117583186669381,16,"totalnpp"
0.299075701612041,4,"totalnpp"
0.0385012525945039,8,"totalnpp"
0.056463879526383,8,"totalnpp"
0.305726058982515,2,"totalnpp"
0.0500662992671617,8,"totalnpp"
0.330906141383619,2,"totalnpp"
0.0795071901657582,8,"totalnpp"
0.207665329823996,4,"totalnpp"
0.130097280299181,16,"totalnpp"
0.132083818991236,4,"totalnpp"
0.259646963609955,4,"totalnpp"
0.0755277935686078,8,"totalnpp"
0.332793680588298,4,"totalnpp"
0.201003498272836,16,"totalnpp"
0.206827979742837,16,"totalnpp"
0.14204327817317,16,"totalnpp"
0.135211820304107,2,"totalnpp"
0.0196670402658758,2,"totalnpp"
0.418853985517522,16,"totalnpp"
0.188948119861755,8,"totalnpp"
0.146539098234952,2,"totalnpp"
0.166217428501169,16,"totalnpp"
0.244657587972971,2,"totalnpp"
0.0286995856765357,4,"totalnpp"
0.00885598787646869,8,"totalnpp"
0.0848553907952168,8,"totalnpp"
0.132633830184871,16,"totalnpp"
0.178031513915921,4,"totalnpp"
0.48206710089201,2,"totalnpp"
0.0803758925350093,2,"totalnpp"
0.230636918467052,4,"totalnpp"
0.232428849336802,4,"totalnpp"
0.12288993863933,16,"totalnpp"
0.145085286399233,8,"totalnpp"
0.15267432893891,8,"totalnpp"
0.262622513313449,8,"totalnpp"
0.00792215888219427,8,"totalnpp"
0.0373801727145877,16,"totalnpp"
0.163650339103032,4,"totalnpp"
0.0695245438171672,2,"totalnpp"
0.0509169845266619,4,"totalnpp"
0.086791067615636,16,"totalnpp"
0.0359055914089521,4,"totalnpp"
0.0367607975828834,8,"totalnpp"
0.0575634390598965,4,"totalnpp"
0.0146652517381898,16,"totalnpp"
0.257194192493057,2,"totalnpp"
0.0428636270038183,16,"totalnpp"
0.0948703979661287,16,"totalnpp"
0.0310958276126119,16,"totalnpp"
0.0654241113101746,16,"totalnpp"
0.253422558930305,2,"totalnpp"
0.0837115088228346,8,"totalnpp"
0.0446813217300637,16,"totalnpp"
0.129181528325081,8,"totalnpp"
0.101832227618593,4,"totalnpp"
0.120788742597392,4,"totalnpp"
0.271675782957181,8,"totalnpp"
0.123888706906626,8,"totalnpp"
0.0353614033429084,16,"totalnpp"
0.358089230742643,2,"totalnpp"
0.0342778978193121,16,"totalnpp"
0.214927703323865,4,"totalnpp"
0.347094862679469,8,"totalnpp"
0.170267809976349,8,"totalnpp"
0.164116694814801,2,"totalnpp"
0.0641249825398011,8,"totalnpp"
0.0938770978889298,16,"totalnpp"
0.224135422714951,4,"totalnpp"
0.0435251872146964,16,"totalnpp"
0.0783692700147443,16,"totalnpp"
0.0890645128737444,2,"totalnpp"
0.144246939858795,16,"totalnpp"
0.0847831204192246,16,"totalnpp"
0.0803736827024126,16,"totalnpp"
0.186493943471511,2,"totalnpp"
